Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,STABLE,right_wall,6,2,0.06,0.2,0.11404,44392,75.16,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.061107,25196,68.56,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.049953,19516,34.77,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.077173,32437,103.03,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.0462,17951,30.73,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.044053,17769,38.55,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.054811,21934,52.84,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.058633,23121,45.3,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.177971,69808,143.95,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.189963,74130,137.88,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-2,0.12,0.2,0.446115,177312,654.89,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.11447,45019,94.87,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,2,0.08,0.2,0.414449,170478,464.02,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.270996,110810,298.98,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-2,0.06,0.2,0.284978,102233,276.9,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.038494,15667,37.37,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.175288,68786,140.2,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.071498,32501,136.09,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.060071,27409,112.32,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.044978,17653,40.55,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.060302,23926,83.78,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.061138,22998,80.56,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-2,0.04,0.2,0.345595,132167,287.41,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.151285,63207,177.31,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.061455,26913,171.73,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.140903,56524,159.45,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.159668,61883,128.02,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.196753,76575,158.86,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.197065,76550,141.12,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-2,0.04,0.2,0.146638,64598,231.05,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.037122,18561,130.9,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.148054,52198,105.73,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.053166,20598,143.62,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,2,0.06,0.2,0.296662,120924,327.97,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.063632,24868,50.17,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.235066,96563,265.63,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.071281,29068,81.99,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.040669,16141,80.9,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.154605,59411,165.76,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.22212,90965,240.75,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.18632,72671,135.76,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.199975,74934,136.48,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-2,0.06,0.2,0.091309,35771,246.47,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.062301,27545,106.39,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.066952,26805,72.75,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.113462,45475,99.94,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.202227,77859,143.17,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.181226,69673,117.87,0,0.0
Frontier Math (AIME),1,0,STABLE,left_wall,2,-2,0.02,0.2,0.097101,42745,144.93,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.045675,21710,149.06,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.033088,12356,139.75,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.319917,126510,296.19,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.093501,40696,139.5,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.077577,30224,58.57,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,4,2,0.04,0.2,0.167839,69731,247.7,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.102872,39041,151.03,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.018206,6793,43.25,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,6,2,0.06,0.2,0.419548,169498,400.05,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.083894,32621,73.91,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,6,2,0.06,0.2,0.54483,197274,373.94,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.097173,42252,157.19,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.028968,14484,82.87,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.012382,6191,91.41,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.02334,11670,83.76,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.065138,32569,140.59,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.177074,72217,191.59,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.208267,80311,148.01,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.195198,72579,148.95,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.076371,26412,83.34,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,2,2,0.02,0.2,0.077697,25899,76.36,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.032189,15133,79.68,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.025392,12696,81.53,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.016746,8373,82.39,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.054424,27212,138.75,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.138079,57676,161.46,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.136713,54091,135.8,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.350767,139281,305.35,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,2,0.06,0.2,0.120149,50338,230.63,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,2,0.06,0.2,0.120888,48593,183.53,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.258647,97332,167.34,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-2,0.06,0.2,0.218444,90210,271.28,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.080006,36393,125.96,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.206162,79304,141.87,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.059421,22476,54.72,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.069126,28562,76.11,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,2,0.08,0.2,0.375256,144500,446.75,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.09869,43898,190.88,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.210408,81176,151.11,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.125579,49898,110.93,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.164102,65138,137.28,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.01504,6672,71.57,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.087188,39401,165.34,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.134162,55650,160.86,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.145341,53950,159.19,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,2,0.06,0.2,0.108853,41754,191.97,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.106403,41065,80.37,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-2,0.06,0.2,0.304487,122380,287.98,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.039927,18591,91.31,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,6,-2,0.06,0.2,0.361816,133086,224.04,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.041167,17943,63.74,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.028308,14154,89.94,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.05758,27310,118.22,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.022876,11438,92.33,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.14223,58476,147.71,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.052841,21397,47.32,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.018801,7704,44.09,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-2,0.04,0.2,0.397507,154423,292.9,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.100327,42627,134.87,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.024331,11059,144.44,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,6,-2,0.06,0.2,0.382728,141533,299.07,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.063881,25551,67.62,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.059648,27572,102.47,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.030417,14198,80.65,0,0.0
