Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.289011,109656,269.72,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.441024,161880,626.88,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.354206,128357,549.27,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.321331,114445,535.92,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.301485,114431,364.47,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.328355,122650,508.52,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.226849,82872,267.16,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,12,8,0.12,0.2,0.254943,96259,425.69,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.343508,121464,392.67,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.164096,60517,356.84,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.237171,83877,389.04,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.320412,116648,430.2,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.241308,85814,386.0,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.240855,90273,434.4,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.312935,109400,377.41,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.291424,106078,338.62,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,14,-8,0.14,0.2,0.439061,159914,599.05,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.218676,78824,399.26,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.207742,75612,365.39,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.250965,94364,309.32,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.440898,163147,677.97,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.279253,100277,499.0,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.353083,124493,397.0,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.448678,168767,716.59,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.366363,132233,643.31,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.314863,112082,383.14,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.209093,76450,403.1,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.26464,95458,461.24,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.302968,107341,387.61,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,14,-8,0.14,0.2,0.408459,148125,633.27,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.35458,127689,677.37,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.359681,129131,360.7,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.244284,89820,516.81,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.323753,120379,464.58,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.320563,117959,399.47,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.249452,88075,409.4,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.432535,157033,667.19,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.352932,131924,522.75,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.333424,118512,513.39,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.284225,101438,414.73,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-5,0.15,0.2,0.40177,145156,765.44,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.346801,121860,449.52,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.255974,93497,431.96,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.322539,115467,489.4,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.186097,68803,236.23,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.271633,101032,370.31,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-7,0.15,0.2,0.501997,181539,745.59,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.215601,76979,387.25,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.27252,99921,457.86,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,8,0.14,0.2,0.327655,117942,486.76,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.226472,85059,313.83,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,5,0.15,0.2,0.510252,187060,699.83,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.356883,129364,544.84,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.441502,157796,649.97,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.132259,49488,362.43,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.438528,158742,648.43,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.100875,38369,159.18,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.386244,136658,531.67,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.328444,117639,542.64,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,12,-8,0.12,0.2,0.376629,133297,550.89,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-3,0.15,0.2,0.435551,158416,757.85,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,14,8,0.14,0.2,0.402542,148233,599.07,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.157584,57797,184.7,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.289392,108143,444.06,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.321705,112782,404.59,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-8,0.14,0.2,0.339401,122148,703.72,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.361196,127080,494.39,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.248248,88969,403.48,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.455999,167034,656.33,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,1,0.15,0.2,0.466734,170108,762.87,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.472442,169896,652.16,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.41376,155341,600.91,0,0.0
