Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.177435,62643,178.23,0,0.0
Frontier Math (AIME),1,0,STABLE,right_wall,4,4,0.04,0.2,0.053925,20626,110.76,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,4,0.04,0.2,0.052863,20993,92.55,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.162856,58052,156.25,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.062101,23089,125.91,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.0943,34457,182.49,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,4,0.14,0.2,0.323501,121285,446.66,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,4,0.12,0.2,0.243452,88912,309.81,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.11854,44440,215.29,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.211279,77060,319.4,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.134826,49025,142.54,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.081683,30573,162.2,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,6,4,0.06,0.2,0.111367,41083,146.37,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.301156,109749,465.01,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.109693,40303,94.3,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.146827,56426,215.75,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-4,0.1,0.2,0.265913,97761,400.0,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.347496,129825,436.2,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.166808,59950,245.66,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.373625,134322,586.45,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,4,0.08,0.2,0.075679,28687,175.46,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-4,0.08,0.2,0.247245,88844,312.53,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.154208,55398,246.03,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.187572,65201,228.86,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.011574,5787,164.22,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,6,4,0.06,0.2,0.133641,51016,146.32,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.108833,39196,185.8,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.322839,119177,483.86,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,12,-4,0.12,0.2,0.337849,123802,444.72,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.425833,154990,553.27,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.203776,75419,337.91,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.244593,89291,376.98,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.166766,57886,167.51,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.114091,40173,127.07,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.052797,19460,150.86,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.409058,145253,634.51,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.143414,50846,185.28,0,0.0
