Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.435165,87033,431.44,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.28868,57736,319.24,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.281195,56239,291.55,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,7,0.15,0.2,0.65423,130846,679.01,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.370875,74175,467.94,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.440215,88043,391.82,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.38741,77482,455.5,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.539055,107811,543.06,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.55106,110212,605.02,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.356045,71209,488.96,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.271805,54361,263.13,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.294,58800,379.66,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.331755,66351,323.0,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.5108,102160,501.15,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.292495,58499,271.2,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.25005,50010,271.58,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.5411,108220,661.05,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.492315,98463,572.06,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.758395,151679,680.98,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.209075,41815,331.09,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.22759,45518,310.3,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,8,0.14,0.2,0.62762,125524,576.45,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,5,0.15,0.2,0.62173,124346,663.59,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,7,0.15,0.2,0.465495,93099,676.28,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.222445,44489,235.5,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.473375,94675,501.66,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.44749,89498,447.66,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.283555,56711,350.4,0,0.0
