Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,GPQA (Molecular Biology),0,1,0,0,STABLE,4,0.1353,83.91,0,0.0
2,GPQA (Physics (general)),1,0,1,1,STABLE,4,0.097122,70.19,0,0.0
3,GPQA (Organic Chemistry),0,0,0,1,STABLE,5,0.289028,227.27,0,0.0
4,GPQA (Organic Chemistry),0,0,0,0,STABLE,10,0.889982,945.24,0,0.0
5,GPQA (Chemistry (general)),0,0,0,0,STABLE,1,0.04394,34.18,0,0.0
6,GPQA (Relativistic Mechanics),1,1,1,1,STABLE,1,0.06795999999999999,61.99,0,0.0
7,GPQA (Organic Chemistry),1,0,1,1,STABLE,7,0.291374,207.06,0,0.0
8,GPQA (Organic Chemistry),0,1,0,0,STABLE,4,0.164968,139.19,0,0.0
9,GPQA (Quantum Mechanics),1,1,1,1,STABLE,1,0.031536,27.46,0,0.0
10,GPQA (Physics (general)),0,0,0,0,STABLE,1,0.023846,11.1,0,0.0
11,GPQA (Electromagnetism and Photonics),1,0,1,0,UNSTABLE,15,0.46338999999999997,404.35,0,0.0
12,GPQA (Organic Chemistry),0,0,0,0,STABLE,1,0.017526,4.5,0,0.0
13,GPQA (Chemistry (general)),0,0,0,0,STABLE,4,0.361166,231.37,0,0.0
14,GPQA (Molecular Biology),0,1,0,1,STABLE,5,0.103824,73.89,0,0.0
15,GPQA (Chemistry (general)),1,0,1,1,STABLE,5,0.370102,237.51,0,0.0
16,GPQA (Chemistry (general)),0,0,0,0,STABLE,1,0.020111999999999998,19.11,0,0.0
17,GPQA (Quantum Mechanics),1,1,1,1,STABLE,1,0.02591,11.64,0,0.0
18,GPQA (Chemistry (general)),0,1,0,0,STABLE,4,0.063304,78.59,0,0.0
19,GPQA (Quantum Mechanics),1,1,1,1,STABLE,1,0.027343999999999997,33.44,0,0.0
20,GPQA (Organic Chemistry),0,0,0,1,STABLE,6,0.44632599999999995,282.74,0,0.0
21,GPQA (Genetics),1,1,1,1,STABLE,1,0.01474,12.78,0,0.0
22,GPQA (High-energy particle physics),0,1,1,1,STABLE,1,0.004275999999999999,9.57,0,0.0
23,GPQA (High-energy particle physics),1,0,1,1,STABLE,4,0.087516,150.7,0,0.0
24,GPQA (Quantum Mechanics),0,1,0,1,STABLE,5,0.40005799999999997,261.28,0,0.0
25,GPQA (Genetics),0,0,0,1,STABLE,4,0.264768,182.48,0,0.0
26,GPQA (Molecular Biology),0,0,0,0,STABLE,1,0.007077999999999999,4.6,0,0.0
27,GPQA (Chemistry (general)),0,1,1,1,STABLE,1,0.018803999999999998,31.34,0,0.0
28,GPQA (Organic Chemistry),0,0,0,1,STABLE,10,0.341294,262.29,0,0.0
29,GPQA (Organic Chemistry),0,1,0,1,STABLE,4,0.072096,55.96,0,0.0
30,GPQA (Quantum Mechanics),0,0,0,0,STABLE,10,0.665246,470.09,0,0.0
31,GPQA (Physics (general)),0,1,1,1,STABLE,5,0.17212999999999998,183.1,0,0.0
32,GPQA (Astrophysics),1,1,1,1,STABLE,4,0.287816,231.28,0,0.0
33,GPQA (Chemistry (general)),1,1,1,1,STABLE,1,0.024703999999999997,17.02,0,0.0
34,GPQA (Astrophysics),1,0,1,1,STABLE,5,0.242726,238.83,0,0.0
35,GPQA (Molecular Biology),0,0,0,0,STABLE,1,0.0073739999999999995,2.92,0,0.0
36,GPQA (Genetics),0,0,0,0,STABLE,1,0.024746,14.47,0,0.0
37,GPQA (Molecular Biology),1,1,1,1,STABLE,1,0.011472,3.2,0,0.0
38,GPQA (Molecular Biology),0,0,0,0,STABLE,1,0.075998,45.16,0,0.0
39,GPQA (Condensed Matter Physics),1,0,1,1,STABLE,4,0.22452,198.83,0,0.0
40,GPQA (Chemistry (general)),0,1,0,1,UNSTABLE,15,0.602904,439.51,0,0.0
41,GPQA (High-energy particle physics),0,0,0,0,STABLE,5,0.24181599999999998,157.06,0,0.0
42,GPQA (Organic Chemistry),1,1,1,1,STABLE,1,0.020514,14.24,0,0.0
43,GPQA (Astrophysics),1,0,1,1,STABLE,4,0.104436,104.66,0,0.0
44,GPQA (Molecular Biology),0,1,1,1,STABLE,1,0.01277,3.14,0,0.0
45,GPQA (Molecular Biology),1,1,1,1,STABLE,1,0.008042,0.79,0,0.0
46,GPQA (Molecular Biology),0,0,0,0,STABLE,1,0.008919999999999999,2.88,0,0.0
47,GPQA (Astrophysics),0,1,1,1,STABLE,1,0.015638,10.78,0,0.0
48,GPQA (High-energy particle physics),1,1,1,1,STABLE,1,0.028662,26.66,0,0.0
49,GPQA (Astrophysics),1,1,1,1,STABLE,1,0.02258,32.47,0,0.0
50,GPQA (Organic Chemistry),0,0,0,0,STABLE,5,0.44173199999999996,261.11,0,0.0
51,GPQA (Molecular Biology),0,0,0,0,STABLE,7,0.107412,141.52,0,0.0
52,GPQA (Organic Chemistry),1,0,1,0,STABLE,4,0.21310800000000002,142.77,0,0.0
53,GPQA (Organic Chemistry),0,1,1,1,STABLE,4,0.22606600000000002,182.79,0,0.0
54,GPQA (Physics (general)),0,1,0,1,STABLE,4,0.142868,127.86,0,0.0
55,GPQA (Physics (general)),1,1,1,1,STABLE,4,0.156746,96.97,0,0.0
56,GPQA (Organic Chemistry),0,0,0,0,STABLE,14,0.829492,626.95,0,0.0
57,GPQA (Chemistry (general)),0,1,0,1,STABLE,11,0.45525399999999994,344.81,0,0.0
58,GPQA (Organic Chemistry),1,1,1,1,STABLE,4,0.144136,148.21,0,0.0
59,GPQA (High-energy particle physics),1,1,1,1,STABLE,1,0.004136,0.48,0,0.0
