Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),0,0,0,0,UNSTABLE,10,1.22498,649.02,0,0.0
2,Frontier Math (AIME),0,0,0,1,STABLE,1,0.01263,17.19,0,0.0
3,Frontier Math (AIME),0,0,0,1,STABLE,7,0.16357,112.48,0,0.0
4,Frontier Math (AIME),0,0,0,0,STABLE,1,0.10730999999999999,44.58,0,0.0
5,Frontier Math (AIME),1,1,1,1,STABLE,1,0.05286,24.19,0,0.0
6,Frontier Math (AIME),0,0,0,0,UNSTABLE,10,0.8638,496.76,0,0.0
7,Frontier Math (AIME),0,0,0,1,STABLE,6,0.35269999999999996,180.19,0,0.0
8,Frontier Math (AIME),1,1,1,1,STABLE,1,0.0667,29.91,0,0.0
9,Frontier Math (AIME),1,1,1,1,STABLE,1,0.07554,45.37,0,0.0
10,Frontier Math (AIME),0,0,0,1,STABLE,1,0.02037,23.36,0,0.0
11,Frontier Math (AIME),0,0,0,1,STABLE,7,0.28475999999999996,162.73,0,0.0
12,Frontier Math (AIME),1,1,1,1,STABLE,6,0.68639,319.74,0,0.0
13,Frontier Math (AIME),0,0,0,1,STABLE,1,0.02133,16.47,0,0.0
14,Frontier Math (AIME),0,0,0,1,STABLE,10,0.38171999999999995,266.31,0,0.0
15,Frontier Math (AIME),0,0,0,1,STABLE,1,0.08394,41.12,0,0.0
16,Frontier Math (AIME),1,1,1,1,STABLE,1,0.05176,25.26,0,0.0
17,Frontier Math (AIME),0,0,0,1,STABLE,7,0.63539,341.33,0,0.0
18,Frontier Math (AIME),0,0,0,1,STABLE,1,0.0566,26.45,0,0.0
19,Frontier Math (AIME),0,0,0,1,STABLE,1,0.08088999999999999,45.12,0,0.0
20,Frontier Math (AIME),1,1,1,1,STABLE,1,0.07597,52.0,0,0.0
21,Frontier Math (AIME),0,0,0,1,STABLE,1,0.00792,14.3,0,0.0
22,Frontier Math (AIME),0,0,0,1,STABLE,1,0.07264999999999999,50.52,0,0.0
23,Frontier Math (AIME),0,0,0,0,UNSTABLE,10,0.9198,531.02,0,0.0
24,Frontier Math (AIME),0,0,0,1,UNSTABLE,10,0.92824,587.18,0,0.0
25,Frontier Math (AIME),0,0,0,1,STABLE,5,0.10985,56.5,0,0.0
26,Frontier Math (AIME),1,1,1,1,STABLE,1,0.07254,31.59,0,0.0
27,Frontier Math (AIME),0,0,0,1,UNSTABLE,10,0.91806,447.47,0,0.0
28,Frontier Math (AIME),0,0,0,1,STABLE,10,0.34059,269.27,0,0.0
29,Frontier Math (AIME),1,1,1,1,STABLE,1,0.09280999999999999,42.23,0,0.0
