Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.2717,698.37,0,0.0
2,Frontier Math (AIME),1,1,1,1,STABLE,1,0.06380999999999999,22.11,0,0.0
3,Frontier Math (AIME),1,1,1,1,STABLE,1,0.04436,23.93,0,0.0
4,Frontier Math (AIME),0,0,0,0,STABLE,1,0.12140999999999999,55.45,0,0.0
5,Frontier Math (AIME),1,1,1,1,STABLE,1,0.03517,24.6,0,0.0
6,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.90699,566.93,0,0.0
7,Frontier Math (AIME),1,1,1,1,STABLE,1,0.08005999999999999,30.77,0,0.0
8,Frontier Math (AIME),1,1,1,1,STABLE,1,0.06601,22.96,0,0.0
9,Frontier Math (AIME),1,1,1,1,STABLE,1,0.12451999999999999,51.19,0,0.0
10,Frontier Math (AIME),1,1,1,1,STABLE,1,0.10693,51.93,0,0.0
11,Frontier Math (AIME),1,1,1,1,STABLE,1,0.06352,32.53,0,0.0
12,Frontier Math (AIME),1,1,1,1,UNSTABLE,15,1.02307,627.51,0,0.0
13,Frontier Math (AIME),1,1,1,1,STABLE,1,0.020309999999999998,17.15,0,0.0
14,Frontier Math (AIME),1,1,1,1,STABLE,1,0.10541,44.6,0,0.0
15,Frontier Math (AIME),1,1,1,1,STABLE,1,0.10933,42.94,0,0.0
16,Frontier Math (AIME),1,1,1,1,STABLE,1,0.07814,32.04,0,0.0
17,Frontier Math (AIME),0,0,0,1,STABLE,1,0.11046,44.28,0,0.0
18,Frontier Math (AIME),0,0,0,1,STABLE,1,0.038169999999999996,22.23,0,0.0
19,Frontier Math (AIME),0,0,0,1,STABLE,1,0.03243,32.52,0,0.0
20,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.22862,720.26,0,0.0
21,Frontier Math (AIME),0,0,0,1,STABLE,11,0.23398,161.11,0,0.0
