Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.9597279999999999,747.49,0,0.0
2,Frontier Math (AIME),0,1,1,1,STABLE,1,0.00762,15.51,0,0.0
3,Frontier Math (AIME),0,0,0,0,STABLE,1,0.010952,23.49,0,0.0
4,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.6759459999999999,559.62,0,0.0
5,Frontier Math (AIME),1,1,1,1,STABLE,1,0.026304,26.65,0,0.0
6,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.8812059999999999,644.21,0,0.0
7,Frontier Math (AIME),0,0,0,0,STABLE,1,0.015408,28.23,0,0.0
8,Frontier Math (AIME),0,0,0,1,STABLE,9,0.255652,202.02,0,0.0
9,Frontier Math (AIME),1,0,1,1,STABLE,8,0.423358,333.27,0,0.0
10,Frontier Math (AIME),1,0,1,1,STABLE,1,0.039488,28.11,0,0.0
11,Frontier Math (AIME),1,0,1,1,STABLE,1,0.027934,23.04,0,0.0
12,Frontier Math (AIME),1,0,1,1,UNSTABLE,15,0.836324,633.8,0,0.0
13,Frontier Math (AIME),1,0,1,1,STABLE,1,0.025382000000000002,20.94,0,0.0
14,Frontier Math (AIME),1,0,1,1,STABLE,1,0.029165999999999997,22.91,0,0.0
15,Frontier Math (AIME),1,0,1,1,STABLE,1,0.05226599999999999,38.8,0,0.0
16,Frontier Math (AIME),0,0,0,1,STABLE,8,0.258146,330.37,0,0.0
17,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.001358,783.44,0,0.0
18,Frontier Math (AIME),1,0,1,1,STABLE,1,0.032748,45.91,0,0.0
19,Frontier Math (AIME),0,0,0,1,STABLE,1,0.037104,47.97,0,0.0
20,Frontier Math (AIME),1,0,1,0,UNSTABLE,15,0.933728,700.99,0,0.0
21,Frontier Math (AIME),0,1,1,1,STABLE,1,0.0066159999999999995,9.34,0,0.0
22,Frontier Math (AIME),0,0,0,1,STABLE,1,0.05484,41.35,0,0.0
23,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.733072,676.62,0,0.0
24,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.6495,538.11,0,0.0
25,Frontier Math (AIME),0,0,0,1,STABLE,14,0.16030799999999998,149.19,0,0.0
26,Frontier Math (AIME),1,1,1,1,STABLE,8,0.296558,276.62,0,0.0
27,Frontier Math (AIME),1,0,1,0,UNSTABLE,15,0.838492,628.77,0,0.0
28,Frontier Math (AIME),0,0,0,0,STABLE,1,0.007963999999999999,17.75,0,0.0
29,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.7402259999999999,565.49,0,0.0
30,Frontier Math (AIME),1,1,1,1,STABLE,1,0.052629999999999996,34.05,0,0.0
31,Frontier Math (AIME),1,1,1,1,STABLE,1,0.072186,45.74,0,0.0
32,Frontier Math (AIME),1,0,1,1,STABLE,1,0.06631,43.89,0,0.0
33,Frontier Math (AIME),0,0,0,0,STABLE,1,0.08363799999999999,55.94,0,0.0
34,Frontier Math (AIME),1,0,1,1,STABLE,1,0.060838,36.93,0,0.0
35,Frontier Math (AIME),1,0,1,1,STABLE,1,0.025061999999999997,16.76,0,0.0
36,Frontier Math (AIME),1,0,1,1,STABLE,1,0.042927999999999994,39.87,0,0.0
37,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.677584,545.32,0,0.0
38,Frontier Math (AIME),0,0,0,1,STABLE,12,0.4971979999999999,393.15,0,0.0
39,Frontier Math (AIME),1,0,1,1,UNSTABLE,15,0.744378,649.48,0,0.0
40,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.02216,790.52,0,0.0
41,Frontier Math (AIME),0,0,0,1,STABLE,11,0.240068,257.85,0,0.0
42,Frontier Math (AIME),1,0,1,1,STABLE,1,0.048426,33.89,0,0.0
43,Frontier Math (AIME),1,0,1,1,STABLE,1,0.044739999999999995,25.5,0,0.0
44,Frontier Math (AIME),1,0,1,1,STABLE,1,0.027625999999999998,25.33,0,0.0
45,Frontier Math (AIME),1,0,1,1,STABLE,1,0.03888,23.07,0,0.0
46,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.0107959999999998,753.91,0,0.0
47,Frontier Math (AIME),1,0,1,1,UNSTABLE,15,0.378838,387.08,0,0.0
48,Frontier Math (AIME),0,0,0,1,STABLE,1,0.0856,51.97,0,0.0
49,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.719484,620.32,0,0.0
50,Frontier Math (AIME),0,0,0,1,STABLE,1,0.08636799999999999,53.53,0,0.0
51,Frontier Math (AIME),1,0,1,1,STABLE,12,0.524076,494.02,0,0.0
52,Frontier Math (AIME),0,0,0,0,STABLE,1,0.086844,51.23,0,0.0
53,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.771052,607.67,0,0.0
54,Frontier Math (AIME),0,0,0,1,STABLE,10,0.467114,387.01,0,0.0
55,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.871054,701.85,0,0.0
56,Frontier Math (AIME),0,0,0,0,STABLE,1,0.08448399999999999,54.15,0,0.0
57,Frontier Math (AIME),1,0,1,1,UNSTABLE,15,0.8551799999999999,653.18,0,0.0
