Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.48324,794.39,0,0.0
2,Frontier Math (AIME),1,1,1,1,STABLE,1,0.06134,26.57,0,0.0
3,Frontier Math (AIME),1,1,1,1,STABLE,1,0.03225,15.67,0,0.0
4,Frontier Math (AIME),0,0,0,0,STABLE,1,0.14151,58.26,0,0.0
5,Frontier Math (AIME),0,0,0,1,STABLE,1,0.00917,19.84,0,0.0
6,Frontier Math (AIME),0,0,0,0,STABLE,1,0.043289999999999995,43.06,0,0.0
7,Frontier Math (AIME),1,1,1,1,STABLE,1,0.1066,60.03,0,0.0
8,Frontier Math (AIME),1,1,1,1,STABLE,1,0.06161,26.23,0,0.0
9,Frontier Math (AIME),1,1,1,1,STABLE,1,0.14700999999999997,76.39,0,0.0
10,Frontier Math (AIME),1,1,1,1,STABLE,1,0.10572,44.74,0,0.0
11,Frontier Math (AIME),0,0,0,1,STABLE,12,0.86635,469.91,0,0.0
12,Frontier Math (AIME),0,0,0,1,STABLE,1,0.03614,44.69,0,0.0
13,Frontier Math (AIME),0,0,0,1,STABLE,9,0.56531,281.24,0,0.0
14,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.99627,493.57,0,0.0
15,Frontier Math (AIME),1,1,1,1,STABLE,1,0.044469999999999996,28.57,0,0.0
16,Frontier Math (AIME),0,0,0,1,STABLE,1,0.02656,23.24,0,0.0
17,Frontier Math (AIME),1,1,1,1,STABLE,1,0.04208,46.59,0,0.0
18,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.85939,463.93,0,0.0
19,Frontier Math (AIME),1,1,1,1,STABLE,1,0.17962,69.87,0,0.0
20,Frontier Math (AIME),0,0,0,1,STABLE,1,0.15810999999999997,77.46,0,0.0
21,Frontier Math (AIME),1,1,1,1,STABLE,1,0.01909,14.44,0,0.0
22,Frontier Math (AIME),1,1,1,1,STABLE,1,0.033699999999999994,42.88,0,0.0
23,Frontier Math (AIME),0,0,0,0,STABLE,1,0.0817,40.97,0,0.0
24,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.02155,621.0,0,0.0
25,Frontier Math (AIME),0,0,0,1,STABLE,1,0.00681,15.95,0,0.0
26,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.9637899999999999,507.27,0,0.0
