Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.196716,882.44,0,0.0
2,Frontier Math (AIME),0,1,1,1,STABLE,1,0.005768,19.0,0,0.0
3,Frontier Math (AIME),0,0,0,1,STABLE,1,0.015352,26.68,0,0.0
4,Frontier Math (AIME),0,0,0,1,STABLE,9,0.553612,417.71,0,0.0
5,Frontier Math (AIME),1,1,1,1,STABLE,1,0.024408,18.63,0,0.0
6,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.914036,707.3,0,0.0
7,Frontier Math (AIME),0,0,0,1,STABLE,13,0.5905819999999999,466.06,0,0.0
8,Frontier Math (AIME),1,0,1,1,STABLE,1,0.028319999999999998,19.92,0,0.0
9,Frontier Math (AIME),1,0,1,1,STABLE,1,0.047008,35.88,0,0.0
10,Frontier Math (AIME),0,0,0,1,STABLE,1,0.041921999999999994,26.2,0,0.0
11,Frontier Math (AIME),1,0,1,1,STABLE,1,0.034398,23.0,0,0.0
12,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.923932,790.04,0,0.0
13,Frontier Math (AIME),1,0,1,1,STABLE,1,0.027219999999999998,20.3,0,0.0
14,Frontier Math (AIME),1,0,1,1,STABLE,1,0.048279999999999997,31.24,0,0.0
15,Frontier Math (AIME),1,0,1,1,STABLE,1,0.047074,34.52,0,0.0
16,Frontier Math (AIME),1,0,1,1,STABLE,1,0.036106,34.3,0,0.0
17,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.1693879999999999,842.34,0,0.0
18,Frontier Math (AIME),0,0,0,1,STABLE,1,0.029783999999999998,41.11,0,0.0
19,Frontier Math (AIME),0,0,0,1,STABLE,1,0.056282,50.36,0,0.0
20,Frontier Math (AIME),1,0,1,1,STABLE,12,0.680574,572.59,0,0.0
21,Frontier Math (AIME),0,0,0,1,STABLE,1,0.01347,14.55,0,0.0
22,Frontier Math (AIME),1,0,1,1,STABLE,1,0.054447999999999996,43.43,0,0.0
23,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.981766,806.92,0,0.0
24,Frontier Math (AIME),0,0,0,0,STABLE,1,0.05468,43.57,0,0.0
25,Frontier Math (AIME),1,1,1,1,STABLE,1,0.01724,14.66,0,0.0
26,Frontier Math (AIME),1,0,1,1,STABLE,1,0.02771,33.77,0,0.0
27,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.024226,822.01,0,0.0
28,Frontier Math (AIME),1,0,1,1,STABLE,1,0.040046,35.21,0,0.0
29,Frontier Math (AIME),1,0,1,1,STABLE,8,0.529956,416.45,0,0.0
30,Frontier Math (AIME),1,1,1,1,STABLE,1,0.046183999999999996,37.64,0,0.0
31,Frontier Math (AIME),1,1,1,1,STABLE,1,0.07532799999999999,56.74,0,0.0
32,Frontier Math (AIME),1,1,1,1,STABLE,1,0.057199999999999994,43.56,0,0.0
33,Frontier Math (AIME),0,0,0,1,STABLE,1,0.08491399999999999,74.01,0,0.0
34,Frontier Math (AIME),1,0,1,1,STABLE,1,0.057734,41.6,0,0.0
35,Frontier Math (AIME),1,1,1,1,STABLE,1,0.025782,23.24,0,0.0
36,Frontier Math (AIME),1,0,1,1,STABLE,1,0.074928,53.01,0,0.0
