Category,FM_Acc,Tokens_In,Tokens_Out,Cache_Read_Tokens,Cache_Write_Tokens,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,10,1159,0,4710,1,1169,0.05841250,14.96,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7476,0,4619,1,7486,0.21576875,98.51,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1751,0,4676,1,1761,0.07300000,23.55,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5482,0,4589,1,5492,0.16573125,59.70,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1762,0,4703,1,1772,0.07344375,16.60,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2350,0,4604,1,2360,0.08752500,30.80,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2299,0,4627,1,2309,0.08639375,21.91,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2686,0,4604,1,2696,0.09592500,30.12,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,21823,0,4744,1,21833,0.57522500,227.73,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,28004,0,4670,1,28014,0.72928750,282.83,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,24847,0,4719,1,24857,0.65066875,291.94,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6343,0,4762,1,6353,0.18833750,60.03,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,9526,0,4721,1,9536,0.26765625,96.53,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6419,0,4643,1,6429,0.18949375,61.54,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1557,0,4592,1,1567,0.06762500,20.91,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,12676,0,4919,1,12686,0.34764375,168.61,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,16185,0,4698,1,16195,0.43398750,165.03,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,4154,0,4685,1,4164,0.13313125,39.26,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2998,0,4644,1,3008,0.10397500,27.13,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,10316,0,4615,1,10326,0.28674375,113.56,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7395,0,4667,1,7405,0.21404375,77.31,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5869,0,4634,1,5879,0.17568750,56.42,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,10288,0,4642,1,10298,0.28621250,123.19,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6888,0,4720,1,6898,0.20170000,70.55,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,13572,0,4677,1,13582,0.36853125,169.16,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,8605,0,4699,1,8615,0.24449375,96.77,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,41576,0,4693,1,41586,1.06873125,498.03,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,45787,0,4756,1,45797,1.17440000,573.75,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
