Category,FM_Acc,Tokens_In,Tokens_Out,Cache_Read_Tokens,Cache_Write_Tokens,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,10,1390,0,4710,1,1400,0.06418750,13.83,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5891,0,4619,1,5901,0.17614375,72.35,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2603,0,4676,1,2613,0.09430000,35.32,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,4987,0,4589,1,4997,0.15335625,52.32,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1747,0,4703,1,1757,0.07306875,15.28,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3096,0,4604,1,3106,0.10617500,38.17,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3860,0,4627,1,3870,0.12541875,38.30,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3561,0,4604,1,3571,0.11780000,40.44,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,14235,0,4744,1,14245,0.38552500,146.03,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,12656,0,4670,1,12666,0.34558750,127.59,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,15370,0,4719,1,15380,0.41374375,175.90,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7117,0,4762,1,7127,0.20768750,67.99,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6445,0,4721,1,6455,0.19063125,65.21,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,10855,0,4643,1,10865,0.30039375,100.81,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1775,0,4592,1,1785,0.07307500,19.65,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,21132,0,4919,1,21142,0.55904375,297.17,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,11694,0,4698,1,11704,0.32171250,116.78,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2643,0,4685,1,2653,0.09535625,33.26,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2755,0,4644,1,2765,0.09790000,27.31,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,4933,0,4615,1,4943,0.15216875,63.53,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5145,0,4667,1,5155,0.15779375,53.72,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,17882,0,4634,1,17892,0.47601250,214.73,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7710,0,4642,1,7720,0.22176250,90.93,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,13831,0,4720,1,13841,0.37527500,167.12,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,17571,0,4677,1,17581,0.46850625,221.29,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,10519,0,4699,1,10529,0.29234375,120.32,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,34566,0,4693,1,34576,0.89348125,1089.04,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,31255,0,4756,1,31265,0.81110000,390.25,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
