Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4691,909,5600,0.04618000,12.03,0,claude-opus-4-6,1
Frontier Math (AIME),1,4600,1581,6181,0.06252500,21.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4657,845,5502,0.04441000,14.44,0,claude-opus-4-6,1
Frontier Math (AIME),1,4570,1134,5704,0.05120000,15.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4684,798,5482,0.04337000,10.24,0,claude-opus-4-6,1
Frontier Math (AIME),1,4585,1010,5595,0.04817500,15.87,0,claude-opus-4-6,1
Frontier Math (AIME),0,4608,1123,5731,0.05111500,15.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4585,1218,5803,0.05337500,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),0,4725,1217,5942,0.05405000,20.72,0,claude-opus-4-6,1
Frontier Math (AIME),0,4651,1983,6634,0.07283000,27.82,0,claude-opus-4-6,1
Frontier Math (AIME),1,4700,1148,5848,0.05220000,16.69,0,claude-opus-4-6,1
Frontier Math (AIME),1,4743,1563,6306,0.06279000,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4702,1745,6447,0.06713500,32.16,0,claude-opus-4-6,1
Frontier Math (AIME),0,4624,1804,6428,0.06822000,21.40,0,claude-opus-4-6,1
Frontier Math (AIME),0,4794,1005,5799,0.04909500,19.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4573,656,5229,0.03926500,8.09,0,claude-opus-4-6,1
Frontier Math (AIME),0,4900,1330,6230,0.05775000,22.12,0,claude-opus-4-6,1
Frontier Math (AIME),0,4679,1381,6060,0.05792000,21.50,0,claude-opus-4-6,1
Frontier Math (AIME),1,4666,1116,5782,0.05123000,15.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4625,1101,5726,0.05065000,15.26,0,claude-opus-4-6,1
Frontier Math (AIME),1,4596,1065,5661,0.04960500,17.51,0,claude-opus-4-6,1
Frontier Math (AIME),1,4648,1181,5829,0.05276500,15.66,0,claude-opus-4-6,1
Frontier Math (AIME),1,4615,5323,9938,0.15615000,64.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4623,1074,5697,0.04996500,12.18,0,claude-opus-4-6,1
Frontier Math (AIME),1,4701,1163,5864,0.05258000,13.52,0,claude-opus-4-6,1
Frontier Math (AIME),1,4658,1225,5883,0.05391500,19.15,0,claude-opus-4-6,1
Frontier Math (AIME),0,4680,1267,5947,0.05507500,18.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4674,1247,5921,0.05454500,23.65,0,claude-opus-4-6,1
Frontier Math (AIME),0,4737,1024,5761,0.04928500,19.56,0,claude-opus-4-6,1
Frontier Math (AIME),0,4729,1227,5956,0.05432000,17.71,0,claude-opus-4-6,1
Frontier Math (AIME),1,4621,1211,5832,0.05338000,25.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4940,1578,6518,0.06415000,19.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4600,968,5568,0.04720000,12.39,0,claude-opus-4-6,1
Frontier Math (AIME),1,4729,967,5696,0.04782000,13.11,0,claude-opus-4-6,1
Frontier Math (AIME),1,4676,1021,5697,0.04890500,15.36,0,claude-opus-4-6,1
Frontier Math (AIME),0,4609,1417,6026,0.05847000,17.61,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,1281,5876,0.05500000,16.19,0,claude-opus-4-6,1
Frontier Math (AIME),1,4642,667,5309,0.03988500,9.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4672,1189,5861,0.05308500,17.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,1674,6294,0.06495000,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,3332,7952,0.10640000,49.16,0,claude-opus-4-6,1
Frontier Math (AIME),1,4693,6028,10721,0.17416500,88.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4631,1075,5706,0.05003000,14.12,0,claude-opus-4-6,1
Frontier Math (AIME),1,4608,986,5594,0.04769000,12.39,0,claude-opus-4-6,1
Frontier Math (AIME),1,4636,601,5237,0.03820500,7.88,0,claude-opus-4-6,1
Frontier Math (AIME),0,4785,1441,6226,0.05995000,21.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4722,6494,11216,0.18596000,100.17,0,claude-opus-4-6,1
Frontier Math (AIME),0,4724,1207,5931,0.05379500,24.57,0,claude-opus-4-6,1
Frontier Math (AIME),0,4610,1302,5912,0.05560000,17.92,0,claude-opus-4-6,1
Frontier Math (AIME),1,4601,917,5518,0.04593000,12.90,0,claude-opus-4-6,1
Frontier Math (AIME),1,4642,775,5417,0.04258500,8.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4602,2032,6634,0.07381000,26.11,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,1375,5970,0.05735000,19.25,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,1217,5837,0.05352500,14.50,0,claude-opus-4-6,1
Frontier Math (AIME),0,4595,1136,5731,0.05137500,21.24,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,1386,6006,0.05775000,21.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4612,378,4990,0.03251000,6.46,0,claude-opus-4-6,1
Frontier Math (AIME),0,4628,1317,5945,0.05606500,18.11,0,claude-opus-4-6,1
Frontier Math (AIME),1,4591,890,5481,0.04520500,10.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4708,1324,6032,0.05664000,22.94,0,claude-opus-4-6,1
Frontier Math (AIME),1,4914,2317,7231,0.08249500,32.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4821,1440,6261,0.06010500,17.82,0,claude-opus-4-6,1
Frontier Math (AIME),1,4606,364,4970,0.03213000,6.35,0,claude-opus-4-6,1
Frontier Math (AIME),1,4605,618,5223,0.03847500,11.67,0,claude-opus-4-6,1
Frontier Math (AIME),1,4651,1141,5792,0.05178000,19.63,0,claude-opus-4-6,1
Frontier Math (AIME),1,4638,1059,5697,0.04966500,14.68,0,claude-opus-4-6,1
Frontier Math (AIME),0,4591,1182,5773,0.05250500,24.98,0,claude-opus-4-6,1
Frontier Math (AIME),1,4677,1352,6029,0.05718500,23.04,0,claude-opus-4-6,1
Frontier Math (AIME),0,4705,1257,5962,0.05495000,18.02,0,claude-opus-4-6,1
Frontier Math (AIME),0,5074,1377,6451,0.05979500,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4731,1203,5934,0.05373000,19.66,0,claude-opus-4-6,1
Frontier Math (AIME),1,4677,1498,6175,0.06083500,19.05,0,claude-opus-4-6,1
Frontier Math (AIME),1,4622,1062,5684,0.04966000,14.13,0,claude-opus-4-6,1
Frontier Math (AIME),0,4617,1209,5826,0.05331000,18.33,0,claude-opus-4-6,1
Frontier Math (AIME),1,4624,1412,6036,0.05842000,20.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4702,1252,5954,0.05481000,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),0,5201,1380,6581,0.06050500,22.22,0,claude-opus-4-6,1
Frontier Math (AIME),1,4627,1191,5818,0.05291000,13.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4635,706,5341,0.04082500,11.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4674,1343,6017,0.05694500,23.35,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,1330,5950,0.05635000,17.00,0,claude-opus-4-6,1
Frontier Math (AIME),1,4688,1112,5800,0.05124000,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4693,1448,6141,0.05966500,20.38,0,claude-opus-4-6,1
Frontier Math (AIME),1,4640,1068,5708,0.04990000,15.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4583,1109,5692,0.05064000,15.26,0,claude-opus-4-6,1
Frontier Math (AIME),1,4973,1438,6411,0.06081500,20.18,0,claude-opus-4-6,1
Frontier Math (AIME),1,4655,807,5462,0.04345000,10.81,0,claude-opus-4-6,1
Frontier Math (AIME),0,4695,8000,12695,0.22347500,100.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1239,5828,0.05392000,18.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4857,1024,5881,0.04988500,11.98,0,claude-opus-4-6,1
Frontier Math (AIME),1,4578,642,5220,0.03894000,9.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4693,1211,5904,0.05374000,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4628,1308,5936,0.05584000,17.92,0,claude-opus-4-6,1
Frontier Math (AIME),1,4684,1291,5975,0.05569500,21.40,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,981,5626,0.04775000,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),0,4623,1731,6354,0.06639000,25.09,0,claude-opus-4-6,1
Frontier Math (AIME),0,4699,1238,5937,0.05444500,19.78,0,claude-opus-4-6,1
Frontier Math (AIME),0,4652,1253,5905,0.05458500,19.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4639,1384,6023,0.05779500,20.17,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,1022,5681,0.04884500,12.49,0,claude-opus-4-6,1
Frontier Math (AIME),1,4714,1125,5839,0.05169500,15.70,0,claude-opus-4-6,1
Frontier Math (AIME),1,4603,1281,5884,0.05504000,20.35,0,claude-opus-4-6,1
Frontier Math (AIME),0,4625,1524,6149,0.06122500,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4701,1107,5808,0.05118000,19.04,0,claude-opus-4-6,1
Frontier Math (AIME),1,4653,1132,5785,0.05156500,14.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4613,437,5050,0.03399000,5.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,1301,5960,0.05582000,23.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4585,2207,6792,0.07810000,30.82,0,claude-opus-4-6,1
Frontier Math (AIME),1,4567,546,5113,0.03648500,7.58,0,claude-opus-4-6,1
Frontier Math (AIME),0,4694,1545,6239,0.06209500,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,1032,5677,0.04902500,11.57,0,claude-opus-4-6,1
Frontier Math (AIME),1,4610,5775,10385,0.16742500,83.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4673,1049,5722,0.04959000,14.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4652,1327,5979,0.05643500,20.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,1465,6099,0.05979500,19.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4665,978,5643,0.04777500,13.82,0,claude-opus-4-6,1
Frontier Math (AIME),0,4687,8000,12687,0.22343500,117.66,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1736,6325,0.06634500,20.07,0,claude-opus-4-6,1
