Category,FM_Acc,Tokens_In,Tokens_Out,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,2195,1,6732,0.07756000,23.37,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4446,6590,1,11036,0.18698000,68.37,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4503,2979,1,7482,0.09699000,39.63,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4416,7649,1,12065,0.21330500,82.23,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4530,2349,1,6879,0.08137500,25.80,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,2826,1,7257,0.09280500,26.42,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4454,3995,1,8449,0.12214500,36.65,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,4895,1,9326,0.14453000,43.48,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4571,14863,1,19434,0.39443000,159.28,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4497,32000,1,36497,0.82248500,297.97,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4546,24198,1,28744,0.62768000,317.80,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4589,7789,1,12378,0.21767000,93.67,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4548,14675,1,19223,0.38961500,178.28,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4470,18432,1,22902,0.48315000,212.15,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4640,32000,1,36640,0.82320000,384.43,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4419,1403,1,5822,0.05717000,17.69,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4746,26888,1,31634,0.69593000,301.98,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4525,16410,1,20935,0.43287500,207.75,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4512,5903,1,10415,0.17013500,73.06,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4471,4120,1,8591,0.12535500,45.33,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4442,10144,1,14586,0.27581000,106.80,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4494,6608,1,11102,0.18767000,81.00,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4461,13485,1,17946,0.35943000,156.91,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4469,18250,1,22719,0.47859500,208.79,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4547,4756,1,9303,0.14163500,54.35,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4504,15784,1,20288,0.41712000,192.67,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4526,8702,1,13228,0.24018000,104.68,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4520,32000,1,36520,0.82260000,391.06,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4583,32000,1,36583,0.82291500,404.29,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4575,32000,1,36575,0.82287500,402.90,0,claude-opus-4-6_adaptive_high,1
