Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,861,5398,0.04421000,11.64,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,1442,5888,0.05828000,20.79,0,claude-opus-4-6,1
Frontier Math (AIME),1,4503,785,5288,0.04214000,10.55,0,claude-opus-4-6,1
Frontier Math (AIME),1,4416,1126,5542,0.05023000,19.54,0,claude-opus-4-6,1
Frontier Math (AIME),1,4530,825,5355,0.04327500,9.73,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1103,5534,0.04973000,14.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4454,1150,5604,0.05102000,12.90,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1154,5585,0.05100500,12.29,0,claude-opus-4-6,1
Frontier Math (AIME),0,4571,1330,5901,0.05610500,21.40,0,claude-opus-4-6,1
Frontier Math (AIME),0,4497,1317,5814,0.05541000,20.40,0,claude-opus-4-6,1
Frontier Math (AIME),1,4546,1161,5707,0.05175500,17.30,0,claude-opus-4-6,1
Frontier Math (AIME),0,4589,1383,5972,0.05752000,19.35,0,claude-opus-4-6,1
Frontier Math (AIME),0,4548,1336,5884,0.05614000,19.14,0,claude-opus-4-6,1
Frontier Math (AIME),1,4470,3048,7518,0.09855000,34.82,0,claude-opus-4-6,1
Frontier Math (AIME),0,4640,1045,5685,0.04932500,19.17,0,claude-opus-4-6,1
Frontier Math (AIME),1,4419,707,5126,0.03977000,10.04,0,claude-opus-4-6,1
Frontier Math (AIME),0,4746,1184,5930,0.05333000,21.67,0,claude-opus-4-6,1
Frontier Math (AIME),0,4525,1406,5931,0.05777500,20.27,0,claude-opus-4-6,1
Frontier Math (AIME),1,4512,877,5389,0.04448500,13.19,0,claude-opus-4-6,1
Frontier Math (AIME),1,4471,1278,5749,0.05430500,17.24,0,claude-opus-4-6,1
Frontier Math (AIME),1,4442,1213,5655,0.05253500,17.08,0,claude-opus-4-6,1
Frontier Math (AIME),1,4494,1270,5764,0.05422000,18.74,0,claude-opus-4-6,1
Frontier Math (AIME),1,4461,5568,10029,0.16150500,64.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4469,1186,5655,0.05199500,15.25,0,claude-opus-4-6,1
Frontier Math (AIME),1,4547,1147,5694,0.05141000,15.05,0,claude-opus-4-6,1
Frontier Math (AIME),1,4504,1180,5684,0.05202000,17.92,0,claude-opus-4-6,1
Frontier Math (AIME),0,4526,2916,7442,0.09553000,42.19,0,claude-opus-4-6,1
Frontier Math (AIME),1,4520,1272,5792,0.05440000,24.37,0,claude-opus-4-6,1
Frontier Math (AIME),0,4583,1070,5653,0.04966500,18.32,0,claude-opus-4-6,1
Frontier Math (AIME),0,4575,1282,5857,0.05492500,18.84,0,claude-opus-4-6,1
