Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Commit_Method,EL_At_Commit,Lambda_At_Commit,MSPRT_Reject,Total_Tokens,Tokens_Step1,Tokens_Post_S1,Mean_Tokens_Per_Step,Total_Inferences,Tokens_Per_Inference,Total_Step_Duration_S,Mean_Step_Duration_S,Endpoint_Token_Breakdown,Infra_Noise,Infra_Noise_Rate
1,GPQA (Molecular Biology),0,1,0,0,STABLE,10,0.35204,187.82,mSPRT,0.001,24.6625,True,63182,2652,60530,6318.2,50,1263.6,187.628,18.763,"{""databricks-qwen3-next-80b-a3b-instruct"": 49656, ""databricks-meta-llama-3-3-70b-instruct"": 13526}",0,0.0
2,GPQA (Physics (general)),1,0,1,1,STABLE,6,0.14425,82.21,mSPRT,0.0,20.5056,True,26844,3021,23823,4474.0,30,894.8,82.163,13.694,"{""databricks-qwen3-next-80b-a3b-instruct"": 18437, ""databricks-meta-llama-3-3-70b-instruct"": 8407}",0,0.0
3,GPQA (Organic Chemistry),0,0,0,1,STABLE,10,0.6033959999999999,381.14,mSPRT,0.001,25.6521,True,106217,12099,94118,10621.7,50,2124.3,381.093,38.109,"{""databricks-qwen3-next-80b-a3b-instruct"": 89264, ""databricks-meta-llama-3-3-70b-instruct"": 16953}",0,0.0
4,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.8605579999999999,1071.89,fallback,0.541,3.0155,False,153560,9230,144330,10237.3,75,2047.5,1071.835,71.456,"{""databricks-qwen3-next-80b-a3b-instruct"": 123159, ""databricks-meta-llama-3-3-70b-instruct"": 30401}",0,0.0
5,GPQA (Chemistry (general)),0,0,0,0,STABLE,10,0.132494,176.21,EL-streak,0.1295,6.3606,False,25285,5820,19465,2528.5,50,505.7,176.161,17.616,"{""databricks-qwen3-next-80b-a3b-instruct"": 15677, ""databricks-meta-llama-3-3-70b-instruct"": 9608}",0,0.0
6,GPQA (Relativistic Mechanics),0,0,0,0,UNSTABLE,15,0.0,1.14,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,1.108,0.074,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
7,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.85,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.819,0.055,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
8,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.77,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.732,0.049,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
9,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.75,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
10,GPQA (Physics (general)),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.674,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
11,GPQA (Electromagnetism and Photonics),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
12,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.684,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
13,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
14,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.75,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.714,0.048,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
15,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.669,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
