Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Commit_Method,EL_At_Commit,Lambda_At_Commit,MSPRT_Reject,Total_Tokens,Tokens_Step1,Tokens_Post_S1,Mean_Tokens_Per_Step,Total_Inferences,Tokens_Per_Inference,Total_Step_Duration_S,Mean_Step_Duration_S,Endpoint_Token_Breakdown,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),1,0,1,1,STABLE,6,0.233124,183.96,mSPRT,0.0,20.683,True,43907,5837,38070,7317.8,30,1463.6,183.922,30.654,"{""databricks-qwen3-next-80b-a3b-instruct"": 28748, ""databricks-meta-llama-3-3-70b-instruct"": 15159}",0,0.0
2,Frontier Math (AIME),1,0,1,1,STABLE,1,0.07058999999999999,51.06,unanimous,0.1325,1.8333,False,12480,12480,0,12480.0,5,2496.0,51.027,51.027,"{""databricks-qwen3-next-80b-a3b-instruct"": 10335, ""databricks-meta-llama-3-3-70b-instruct"": 2145}",0,0.0
3,Frontier Math (AIME),1,0,1,1,STABLE,6,0.298852,220.13,mSPRT,0.0,20.683,True,53746,7103,46643,8957.7,30,1791.5,220.093,36.682,"{""databricks-qwen3-next-80b-a3b-instruct"": 41934, ""databricks-meta-llama-3-3-70b-instruct"": 11812}",0,0.0
4,Frontier Math (AIME),0,0,0,1,STABLE,14,1.058858,750.01,mSPRT,0.002,20.9251,True,185520,14084,171436,13251.4,70,2650.3,749.966,53.569,"{""databricks-qwen3-next-80b-a3b-instruct"": 158389, ""databricks-meta-llama-3-3-70b-instruct"": 27131}",0,0.0
5,Frontier Math (AIME),0,0,0,1,STABLE,6,0.173056,176.56,mSPRT,0.0015,26.9247,True,34190,5662,28528,5698.3,30,1139.7,176.486,29.414,"{""databricks-qwen3-next-80b-a3b-instruct"": 18148, ""databricks-meta-llama-3-3-70b-instruct"": 16042}",0,0.0
6,Frontier Math (AIME),0,0,0,1,STABLE,11,0.465354,468.06,mSPRT,0.152,21.0705,True,86710,3387,83323,7882.7,55,1576.5,468.001,42.546,"{""databricks-qwen3-next-80b-a3b-instruct"": 59257, ""databricks-meta-llama-3-3-70b-instruct"": 27453}",0,0.0
7,Frontier Math (AIME),1,0,1,1,STABLE,1,0.04836,44.72,unanimous,0.136,1.8333,False,8760,8760,0,8760.0,5,1752.0,44.683,44.683,"{""databricks-qwen3-next-80b-a3b-instruct"": 6660, ""databricks-meta-llama-3-3-70b-instruct"": 2100}",0,0.0
8,Frontier Math (AIME),1,0,1,1,STABLE,1,0.049907999999999994,43.01,unanimous,0.138,1.8333,False,8927,8927,0,8927.0,5,1785.4,42.974,42.974,"{""databricks-qwen3-next-80b-a3b-instruct"": 7100, ""databricks-meta-llama-3-3-70b-instruct"": 1827}",0,0.0
9,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.242064,1182.06,fallback,0.7905,1.1333,False,218737,15696,203041,14582.5,75,2916.5,1182.012,78.801,"{""databricks-qwen3-next-80b-a3b-instruct"": 183558, ""databricks-meta-llama-3-3-70b-instruct"": 35179}",0,0.0
10,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.297212,1124.73,fallback,0.6065,1.8944,False,227838,15191,212647,15189.2,75,3037.8,1124.683,74.979,"{""databricks-qwen3-next-80b-a3b-instruct"": 192930, ""databricks-meta-llama-3-3-70b-instruct"": 34908}",0,0.0
11,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.298206,1037.06,fallback,0.1885,5.2107,False,227083,14487,212596,15138.9,75,3027.8,1037.007,69.134,"{""databricks-qwen3-next-80b-a3b-instruct"": 194937, ""databricks-meta-llama-3-3-70b-instruct"": 32146}",0,0.0
12,Frontier Math (AIME),1,0,1,1,STABLE,10,0.722738,612.48,EL-streak,0.011,11.8024,False,131311,15670,115641,13131.1,50,2626.2,612.44,61.244,"{""databricks-qwen3-next-80b-a3b-instruct"": 98747, ""databricks-meta-llama-3-3-70b-instruct"": 32564}",0,0.0
13,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.1815779999999998,865.72,fallback,0.5755,2.0824,False,207954,14897,193057,13863.6,75,2772.7,865.659,57.711,"{""databricks-qwen3-next-80b-a3b-instruct"": 174881, ""databricks-meta-llama-3-3-70b-instruct"": 33073}",0,0.0
