Category,Consensus_S1,DASE_Final,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
GPQA (Molecular Biology),C,C,0,0,STABLE,right_wall,4,4,0.04,0.2,0.061263,22035,62.24,0,0.0
GPQA (Physics (general)),A,A,1,1,STABLE,right_wall,4,4,0.04,0.2,0.049211,18423,75.71,0,0.0
GPQA (Organic Chemistry),A,A,1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.460509,161638,668.49,0,0.0
GPQA (Organic Chemistry),4.2.0,D,0,0,STABLE,left_wall,6,-4,0.06,0.2,0.184013,65646,309.08,0,0.0
GPQA (Chemistry (general)),B,B,1,1,STABLE,left_wall,10,-4,0.1,0.2,0.300216,108136,423.22,0,0.0
GPQA (Relativistic Mechanics),A,A,1,1,STABLE,right_wall,6,4,0.06,0.2,0.09951,37486,195.82,0,0.0
GPQA (Organic Chemistry),C,A,0,1,STABLE,right_wall,8,4,0.08,0.2,0.18257,66263,243.9,0,0.0
GPQA (Organic Chemistry),C,C,0,0,STABLE,right_wall,6,4,0.06,0.2,0.097143,36269,169.62,0,0.0
GPQA (Quantum Mechanics),B,B,1,1,STABLE,right_wall,4,4,0.04,0.2,0.076936,28872,74.84,0,0.0
GPQA (Physics (general)),A,A,0,0,STABLE,right_wall,4,4,0.04,0.2,0.074014,26773,96.84,0,0.0
GPQA (Electromagnetism and Photonics),B,B,1,1,STABLE,right_wall,6,4,0.06,0.2,0.073116,27048,83.79,0,0.0
GPQA (Organic Chemistry),C,C,0,0,STABLE,right_wall,4,4,0.04,0.2,0.062654,23206,60.43,0,0.0
GPQA (Chemistry (general)),B,B,0,0,STABLE,left_wall,14,-4,0.14,0.2,0.425556,153827,658.43,0,0.0
GPQA (Molecular Biology),C,C,1,1,STABLE,right_wall,6,4,0.06,0.2,0.084953,31703,113.02,0,0.0
GPQA (Chemistry (general)),A,D,0,1,STABLE,right_wall,4,4,0.04,0.2,0.159772,56960,175.13,0,0.0
GPQA (Chemistry (general)),C,C,0,0,UNSTABLE,fallback,15,3,0.15,0.2,0.426419,152416,617.47,0,0.0
GPQA (Quantum Mechanics),D,D,1,1,STABLE,right_wall,10,4,0.1,0.2,0.168226,65532,259.58,0,0.0
GPQA (Chemistry (general)),D,C,0,1,STABLE,right_wall,6,4,0.06,0.2,0.155119,54836,236.37,0,0.0
GPQA (Quantum Mechanics),B,B,1,1,STABLE,right_wall,6,4,0.06,0.2,0.085553,33865,121.37,0,0.0
GPQA (Organic Chemistry),C,C,0,0,STABLE,left_wall,12,-4,0.12,0.2,0.320512,113615,508.08,0,0.0
GPQA (Genetics),C,C,1,1,STABLE,right_wall,4,4,0.04,0.2,0.0555,20408,50.76,0,0.0
GPQA (High-energy particle physics),D,D,1,1,STABLE,right_wall,4,4,0.04,0.2,0.036227,13761,63.47,0,0.0
GPQA (High-energy particle physics),D,D,1,1,STABLE,right_wall,4,4,0.04,0.2,0.083294,30905,94.23,0,0.0
GPQA (Quantum Mechanics),-i γ² γ³,D,0,1,STABLE,left_wall,12,-4,0.12,0.2,0.332651,118466,549.3,0,0.0
GPQA (Genetics),C,C,1,1,STABLE,right_wall,10,4,0.1,0.2,0.354895,126004,443.85,0,0.0
GPQA (Molecular Biology),C,C,0,0,STABLE,right_wall,10,4,0.1,0.2,0.123835,47853,202.84,0,0.0
GPQA (Chemistry (general)),B,B,1,1,STABLE,right_wall,4,4,0.04,0.2,0.082556,30663,86.35,0,0.0
GPQA (Organic Chemistry),A,A,1,1,STABLE,right_wall,10,4,0.1,0.2,0.173215,62253,228.88,0,0.0
GPQA (Organic Chemistry),B,C,0,1,STABLE,right_wall,4,4,0.04,0.2,0.033728,12521,61.3,0,0.0
GPQA (Quantum Mechanics),i,A,0,0,STABLE,left_wall,4,-4,0.04,0.2,0.175128,59856,180.32,0,0.0
GPQA (Physics (general)),A,A,1,1,STABLE,right_wall,12,4,0.12,0.2,0.305641,111432,511.86,0,0.0
GPQA (Astrophysics),"R = 0.4 \cdot (L_{5100}/10^{44})^{0.5}
\",C,0,1,STABLE,right_wall,4,4,0.04,0.2,0.111915,39962,166.16,0,0.0
GPQA (Chemistry (general)),A,A,1,1,STABLE,right_wall,4,4,0.04,0.2,0.042741,16504,98.34,0,0.0
GPQA (Astrophysics),A,A,1,1,STABLE,right_wall,6,4,0.06,0.2,0.155303,57711,175.76,0,0.0
GPQA (Molecular Biology),D,D,0,0,STABLE,right_wall,4,4,0.04,0.2,0.029107,11058,40.34,0,0.0
GPQA (Genetics),A,A,0,0,STABLE,right_wall,4,4,0.04,0.2,0.072378,25554,82.36,0,0.0
GPQA (Molecular Biology),B,B,1,1,STABLE,right_wall,4,4,0.04,0.2,0.034127,12774,27.07,0,0.0
