Category,Consensus_S1,DASE_Final,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),ABCD,ABCD,0,0,STABLE,left_wall,8,-8,0.08,0.2,0.348831,123524,415.96,0,0.0
Frontier Math (AIME),empty,164,0,1,UNSTABLE,fallback,15,3,0.15,0.2,0.164068,63231,379.03,0,0.0
Frontier Math (AIME),20,20,1,1,STABLE,right_wall,8,8,0.08,0.2,0.109822,44283,151.17,0,0.0
Frontier Math (AIME),153,153,0,0,UNSTABLE,fallback,15,-7,0.15,0.2,0.42087,150128,676.56,0,0.0
Frontier Math (AIME),728,728,1,1,STABLE,right_wall,8,8,0.08,0.2,0.10546,39553,126.67,0,0.0
Frontier Math (AIME),17,17,0,0,STABLE,left_wall,8,-8,0.08,0.2,0.319174,111979,419.4,0,0.0
Frontier Math (AIME),empty,152,0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.297832,117182,558.72,0,0.0
Frontier Math (AIME),501,501,1,1,STABLE,right_wall,8,8,0.08,0.2,0.130322,47821,153.44,0,0.0
Frontier Math (AIME),480,480,1,1,STABLE,right_wall,14,8,0.14,0.2,0.338988,120709,522.24,0,0.0
Frontier Math (AIME),106,106,1,1,STABLE,right_wall,10,8,0.1,0.2,0.175247,63189,292.76,0,0.0
Frontier Math (AIME),5,5,1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.285074,104279,448.76,0,0.0
Frontier Math (AIME),512,368,0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.511481,183161,659.47,0,0.0
Frontier Math (AIME),250,250,1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.187468,71125,314.3,0,0.0
Frontier Math (AIME),29,29,1,1,STABLE,right_wall,10,8,0.1,0.2,0.174831,63286,265.52,0,0.0
Frontier Math (AIME),112,112,1,1,STABLE,right_wall,12,8,0.12,0.2,0.271982,101244,394.13,0,0.0
Frontier Math (AIME),158,158,1,1,STABLE,right_wall,8,8,0.08,0.2,0.145577,55648,180.0,0,0.0
Frontier Math (AIME),660,660,1,1,STABLE,left_wall,14,-8,0.14,0.2,0.425047,151439,631.96,0,0.0
Frontier Math (AIME),987,987,1,1,STABLE,right_wall,10,8,0.1,0.2,0.179205,69163,292.69,0,0.0
Frontier Math (AIME),63,63,1,1,STABLE,left_wall,14,-8,0.14,0.2,0.436471,157483,645.9,0,0.0
