Category,Consensus_S1,DASE_Final,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),DPA,ABCD,0,0,STABLE,left_wall,8,-8,0.08,0.2,0.46728,93456,359.2,0,0.0
Frontier Math (AIME),empty,164,0,1,STABLE,right_wall,8,8,0.08,0.2,0.12694,25388,238.33,0,0.0
Frontier Math (AIME),empty,20,0,1,STABLE,right_wall,10,8,0.1,0.2,0.171755,34351,224.08,0,0.0
Frontier Math (AIME),153,153,0,0,UNSTABLE,fallback,15,7,0.15,0.2,0.71527,143054,671.67,0,0.0
Frontier Math (AIME),728,728,1,1,STABLE,right_wall,8,8,0.08,0.2,0.220315,44063,192.63,0,0.0
Frontier Math (AIME),empty,0,0,0,STABLE,left_wall,8,-8,0.08,0.2,0.865545,173109,455.63,0,0.0
Frontier Math (AIME),152,152,1,1,STABLE,right_wall,8,8,0.08,0.2,0.337385,67477,191.01,0,0.0
Frontier Math (AIME),501,501,1,1,STABLE,right_wall,8,8,0.08,0.2,0.25732,51464,229.69,0,0.0
Frontier Math (AIME),empty,empty,0,0,STABLE,right_wall,8,8,0.08,0.2,0.313435,62687,315.9,0,0.0
Frontier Math (AIME),empty,empty,0,0,STABLE,right_wall,10,8,0.1,0.2,0.265535,53107,366.02,0,0.0
Frontier Math (AIME),empty,5,0,1,STABLE,right_wall,8,8,0.08,0.2,0.27003,54006,292.9,0,0.0
Frontier Math (AIME),368,368,1,1,STABLE,left_wall,10,-8,0.1,0.2,0.362205,72441,457.6,0,0.0
Frontier Math (AIME),250,250,1,1,STABLE,right_wall,10,8,0.1,0.2,0.230935,46187,191.92,0,0.0
Frontier Math (AIME),29,29,1,1,STABLE,right_wall,10,8,0.1,0.2,0.362105,72421,341.38,0,0.0
Frontier Math (AIME),112,112,1,1,STABLE,right_wall,12,8,0.12,0.2,0.35859,71718,462.34,0,0.0
Frontier Math (AIME),158,158,1,1,STABLE,right_wall,10,8,0.1,0.2,0.28552,57104,336.66,0,0.0
Frontier Math (AIME),660,660,1,1,STABLE,left_wall,14,-8,0.14,0.2,0.67293,134586,597.34,0,0.0
Frontier Math (AIME),empty,987,0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.35701,71402,500.88,0,0.0
Frontier Math (AIME),empty,63,0,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.52918,105836,685.79,0,0.0
