Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,GPQA (Molecular Biology),C,D,C,C,0,1,0,0,STABLE,4,0.1353,83.91,0,0.0
2,GPQA (Physics (general)),A,C,A,A,1,0,1,1,STABLE,4,0.097122,70.19,0,0.0
3,GPQA (Organic Chemistry),empty,B,B,A,0,0,0,1,STABLE,5,0.289028,227.27,0,0.0
4,GPQA (Organic Chemistry),empty,D,D,(D),0,0,0,0,STABLE,10,0.889982,945.24,0,0.0
5,GPQA (Chemistry (general)),C,C,C,C,0,0,0,0,STABLE,1,0.04394,34.18,0,0.0
6,GPQA (Relativistic Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.0679599999999999,61.99,0,0.0
7,GPQA (Organic Chemistry),A,D,A,A,1,0,1,1,STABLE,7,0.291374,207.06,0,0.0
8,GPQA (Organic Chemistry),C,B,C,C,0,1,0,0,STABLE,4,0.164968,139.19,0,0.0
9,GPQA (Quantum Mechanics),B,B,B,B,1,1,1,1,STABLE,1,0.031536,27.46,0,0.0
10,GPQA (Physics (general)),A,A,A,A,0,0,0,0,STABLE,1,0.023846,11.1,0,0.0
11,GPQA (Electromagnetism and Photonics),B,D,B,D,1,0,1,0,UNSTABLE,15,0.4633899999999999,404.35,0,0.0
12,GPQA (Organic Chemistry),C,C,C,C,0,0,0,0,STABLE,1,0.017526,4.5,0,0.0
13,GPQA (Chemistry (general)),empty,B,B,B,0,0,0,0,STABLE,4,0.361166,231.37,0,0.0
14,GPQA (Molecular Biology),D,C,D,C,0,1,0,1,STABLE,5,0.103824,73.89,0,0.0
15,GPQA (Chemistry (general)),D,C,D,D,1,0,1,1,STABLE,5,0.370102,237.51,0,0.0
16,GPQA (Chemistry (general)),empty,C,C,C,0,0,0,0,STABLE,1,0.0201119999999999,19.11,0,0.0
17,GPQA (Quantum Mechanics),D,D,D,D,1,1,1,1,STABLE,1,0.02591,11.64,0,0.0
18,GPQA (Chemistry (general)),D,C,D,D,0,1,0,0,STABLE,4,0.063304,78.59,0,0.0
19,GPQA (Quantum Mechanics),B,B,B,B,1,1,1,1,STABLE,1,0.0273439999999999,33.44,0,0.0
20,GPQA (Organic Chemistry),A,C,A,(D),0,0,0,1,STABLE,6,0.4463259999999999,282.74,0,0.0
21,GPQA (Genetics),C,C,C,C,1,1,1,1,STABLE,1,0.01474,12.78,0,0.0
22,GPQA (High-energy particle physics),empty,D,D,D,0,1,1,1,STABLE,1,0.0042759999999999,9.57,0,0.0
23,GPQA (High-energy particle physics),D,C,D,D,1,0,1,1,STABLE,4,0.087516,150.7,0,0.0
24,GPQA (Quantum Mechanics),- γ³ γ² γ¹ γ⁰,D,- γ³ γ² γ¹ γ⁰,D,0,1,0,1,STABLE,5,0.4000579999999999,261.28,0,0.0
25,GPQA (Genetics),empty,A,A,C,0,0,0,1,STABLE,4,0.264768,182.48,0,0.0
26,GPQA (Molecular Biology),C,C,C,C,0,0,0,0,STABLE,1,0.0070779999999999,4.6,0,0.0
27,GPQA (Chemistry (general)),empty,B,B,B,0,1,1,1,STABLE,1,0.0188039999999999,31.34,0,0.0
28,GPQA (Organic Chemistry),empty,C,C,A,0,0,0,1,STABLE,10,0.341294,262.29,0,0.0
29,GPQA (Organic Chemistry),B,C,B,C,0,1,0,1,STABLE,4,0.072096,55.96,0,0.0
30,GPQA (Quantum Mechanics),"V,V,O,H,O,V,H,H,H,D,V,V,O,D,H,D",A,"V,V,O,H,O,V,H,H,H,D,V,V,O,D,H,D",A,0,0,0,0,STABLE,10,0.665246,470.09,0,0.0
31,GPQA (Physics (general)),empty,A,A,A,0,1,1,1,STABLE,5,0.1721299999999999,183.1,0,0.0
32,GPQA (Astrophysics),C,C,C,C,1,1,1,1,STABLE,4,0.287816,231.28,0,0.0
33,GPQA (Chemistry (general)),A,A,A,A,1,1,1,1,STABLE,1,0.0247039999999999,17.02,0,0.0
34,GPQA (Astrophysics),(A),B,(A),A,1,0,1,1,STABLE,5,0.242726,238.83,0,0.0
35,GPQA (Molecular Biology),D,D,D,D,0,0,0,0,STABLE,1,0.0073739999999999,2.92,0,0.0
36,GPQA (Genetics),A,A,A,A,0,0,0,0,STABLE,1,0.024746,14.47,0,0.0
37,GPQA (Molecular Biology),B,B,B,B,1,1,1,1,STABLE,1,0.011472,3.2,0,0.0
38,GPQA (Molecular Biology),empty,A,A,A,0,0,0,0,STABLE,1,0.075998,45.16,0,0.0
39,GPQA (Condensed Matter Physics),D,A,D,D,1,0,1,1,STABLE,4,0.22452,198.83,0,0.0
40,GPQA (Chemistry (general)),C,A,C,A,0,1,0,1,UNSTABLE,15,0.602904,439.51,0,0.0
41,GPQA (High-energy particle physics),D,B,D,B,0,0,0,0,STABLE,5,0.2418159999999999,157.06,0,0.0
42,GPQA (Organic Chemistry),B,B,B,B,1,1,1,1,STABLE,1,0.020514,14.24,0,0.0
