Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),X^2 - Y^2,empty,X^2 - Y^2,ABCD,0,0,0,0,UNSTABLE,15,0.959728,747.49,0,0.0
2,Frontier Math (AIME),empty,164,164,164,0,1,1,1,STABLE,1,0.00762,15.51,0,0.0
3,Frontier Math (AIME),empty,720,720,720,0,0,0,0,STABLE,1,0.010952,23.49,0,0.0
4,Frontier Math (AIME),empty,empty,empty,153,0,0,0,0,UNSTABLE,15,0.6759459999999999,559.62,0,0.0
5,Frontier Math (AIME),728,728,728,728,1,1,1,1,STABLE,1,0.026304,26.65,0,0.0
6,Frontier Math (AIME),empty,12,12,17,0,0,0,0,UNSTABLE,15,0.8812059999999999,644.21,0,0.0
7,Frontier Math (AIME),empty,empty,empty,247,0,0,0,0,STABLE,1,0.015408,28.23,0,0.0
8,Frontier Math (AIME),empty,empty,empty,501,0,0,0,1,STABLE,9,0.255652,202.02,0,0.0
9,Frontier Math (AIME),480,240,480,480,1,0,1,1,STABLE,8,0.423358,333.27,0,0.0
10,Frontier Math (AIME),106,empty,106,106,1,0,1,1,STABLE,1,0.039488,28.11,0,0.0
11,Frontier Math (AIME),5,empty,5,5,1,0,1,1,STABLE,1,0.027934,23.04,0,0.0
12,Frontier Math (AIME),368,empty,368,368,1,0,1,1,UNSTABLE,15,0.836324,633.8,0,0.0
13,Frontier Math (AIME),250,empty,250,250,1,0,1,1,STABLE,1,0.025382,20.94,0,0.0
14,Frontier Math (AIME),29,empty,29,29,1,0,1,1,STABLE,1,0.0291659999999999,22.91,0,0.0
15,Frontier Math (AIME),112,empty,112,112,1,0,1,1,STABLE,1,0.0522659999999999,38.8,0,0.0
16,Frontier Math (AIME),empty,31 + 24 = 55,31 + 24 = 55,158,0,0,0,1,STABLE,8,0.258146,330.37,0,0.0
17,Frontier Math (AIME),empty,181,181,660,0,0,0,1,UNSTABLE,15,1.001358,783.44,0,0.0
