Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),ABCD,84,ABCD,ABCD,0,0,0,0,UNSTABLE,15,1.196716,882.44,0,0.0
2,Frontier Math (AIME),empty,164,164,164,0,1,1,1,STABLE,1,0.005768,19.0,0,0.0
3,Frontier Math (AIME),empty,empty,empty,20,0,0,0,1,STABLE,1,0.015352,26.68,0,0.0
4,Frontier Math (AIME),empty,empty,empty,306,0,0,0,1,STABLE,9,0.553612,417.71,0,0.0
5,Frontier Math (AIME),728,728,728,728,1,1,1,1,STABLE,1,0.024408,18.63,0,0.0
6,Frontier Math (AIME),s+1,17,s+1,19,0,0,0,0,UNSTABLE,15,0.914036,707.3,0,0.0
7,Frontier Math (AIME),empty,144,144,152,0,0,0,1,STABLE,13,0.5905819999999999,466.06,0,0.0
8,Frontier Math (AIME),501,empty,501,501,1,0,1,1,STABLE,1,0.0283199999999999,19.92,0,0.0
9,Frontier Math (AIME),480,empty,480,480,1,0,1,1,STABLE,1,0.047008,35.88,0,0.0
10,Frontier Math (AIME),empty,empty,empty,106,0,0,0,1,STABLE,1,0.0419219999999999,26.2,0,0.0
11,Frontier Math (AIME),5,empty,5,5,1,0,1,1,STABLE,1,0.034398,23.0,0,0.0
12,Frontier Math (AIME),3 + 2i,360,3 + 2i,368,0,0,0,1,UNSTABLE,15,0.923932,790.04,0,0.0
13,Frontier Math (AIME),250,empty,250,250,1,0,1,1,STABLE,1,0.0272199999999999,20.3,0,0.0
14,Frontier Math (AIME),29,empty,29,29,1,0,1,1,STABLE,1,0.0482799999999999,31.24,0,0.0
15,Frontier Math (AIME),112,empty,112,112,1,0,1,1,STABLE,1,0.047074,34.52,0,0.0
16,Frontier Math (AIME),158,empty,158,158,1,0,1,1,STABLE,1,0.036106,34.3,0,0.0
17,Frontier Math (AIME),empty,672,672,660,0,0,0,1,UNSTABLE,15,1.169388,842.34,0,0.0
18,Frontier Math (AIME),empty,empty,empty,987,0,0,0,1,STABLE,1,0.0297839999999999,41.11,0,0.0
19,Frontier Math (AIME),empty,empty,empty,63,0,0,0,1,STABLE,1,0.056282,50.36,0,0.0
20,Frontier Math (AIME),72,empty,72,72,1,0,1,1,STABLE,12,0.680574,572.59,0,0.0
21,Frontier Math (AIME),empty,empty,empty,869,0,0,0,1,STABLE,1,0.01347,14.55,0,0.0
22,Frontier Math (AIME),112,empty,112,112,1,0,1,1,STABLE,1,0.0544479999999999,43.43,0,0.0
23,Frontier Math (AIME),64,empty,64,EBD,0,0,0,0,UNSTABLE,15,0.981766,806.92,0,0.0
24,Frontier Math (AIME),empty,420,420,420,0,0,0,0,STABLE,1,0.05468,43.57,0,0.0
25,Frontier Math (AIME),25,25,25,25,1,1,1,1,STABLE,1,0.01724,14.66,0,0.0
26,Frontier Math (AIME),89,empty,89,89,1,0,1,1,STABLE,1,0.02771,33.77,0,0.0
